Pozisyon;IlanMetni
Business Analyst;"Job Description



Review and thoroughly understand stories and acceptance criteria in the backlog.
Support the implementation of stories in accordance with acceptance criteria using business analysis skills.
Execute test scenarios, record identified defects and follow up on resolutions.
Test REST services developed with a micro services architecture using tools such as Swagger or Postman and perform front-end testing.
Ensure tasks are complete and ready for sprint reviews and present them effectively.
Interpret insurance processes and product logic accurately to ensure test correctness.
Prepare and maintain user guides and other documentation materials.
Conduct research and data collection processes as requested by the Product Owner.


Requirements



Bachelor�s degree in Industrial Engineering, Computer Engineering, Mathematical Engineering, Business Engineering, Statistics, Mathematics, or a related field.
Minimum 3�5 years of experience as a Business Analyst in the insurance sector.
Knowledge of Agile/Scrum methodologies and backlog/acceptance criteria processes.
Ability to analyze stories and acceptance criteria and verify software accuracy.
Experience testing REST services and working with JSON data structures.
Extensive experience with frontend and backend testing and defect identification.
Strong analytical thinking, attention to detail, and problem-solving skills.
Strong documentation and communication skills.
Experience with the Figma design tool."
Business Analyst;"IV - What Is Required from You?

(i) Education: A Bachelor's degree in a relevant field such as Computer Science, Industrial Engineering, Business Analytics, or a related field is required. Equivalent work experience in a related field may also be considered. (ii) Experience: Proven experience in Business Analysis related roles is required. Experience in the management of outsourced projects, demonstrating the ability to collaborate effectively with external teams, is preferred. (iii) Expertise: Proven experience in data analysis, business intelligence, and reporting, showcasing the ability to extract meaningful insights from data is essential. A strong understanding of data modeling and database design principles, enabling the effective structuring and management of data, is expected. Familiarity with various data visualization tools and techniques, enabling the effective presentation of data-driven insights, is also required. (iv) Knowledge: An in-depth understanding of data mining techniques and methodologies to extract valuable insights from large datasets is crucial. Proficiency with business intelligence tools and platforms, including Tableau, Power BI, and Qlik Sense, is essential. Familiarity with AI technologies, such as machine learning, deep learning, natural language processing, and computer vision, and their business applications is expected. (v) Skills: Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.) is required, enabling effective communication and data presentation. Strong written, verbal, and collaboration skills are essential, enabling effective communication with both technical and non-technical stakeholders. Excellent presentation skills are expected, enabling the clear and concise communication of complex ideas to diverse audiences. (vi) Language: Strong proficiency in spoken and written Turkish and English is required, enabling effective communication with clients, stakeholders, and colleagues from diverse backgrounds. (vii) Competencies: Demonstrated ability to work independently and as part of a team, showcasing adaptability and collaboration skills, is a must. Strong analytical and problem-solving skills, enabling the identification and resolution of complex business challenges, are essential. Excellent communication and presentation skills are expected, enabling effective communication of ideas and insights to diverse audiences."
IT Business Analyst;"As a Business Analyst, you will play a pivotal role in bridging the gap between business needs and technical requirements, ensuring seamless project execution and valuable outcomes.
5+ years experiences.
SWIFT payments is a must.
Collaborating with stakeholders to understand and gather business needs, translating them into technical requirements aligned with organizational goals.
Facilitating common understanding among stakeholders (Enterprise and/or Domain Architects, Solution Architects, Product Owners, Customer Journey Experts, DevOps Engineers, and other IT Business Analysts) regarding responsibilities, deliverables, and timelines with a strong MVP (Minimum Viable Product) mindset.
Delivering detailed implementation roadmaps from a strategic business and IT context, overseeing and challenging the solution during the discovery phase.
Staying involved post-implementation to conduct integration testing, ensuring seamless component interaction and addressing interface issues.
Identifying and managing risks and potential issues throughout the product life cycle, offering improvements across squads.
Good communication skills in English (C1 level)


How to Succeed

Proficient in all phases of the software development life cycle and solution delivery for web, client-server, and cloud-based systems.
Experienced with financial institutions and/or payment systems, having held roles such as business analyst, project manager, functional analyst, architect, or engineer.
Holder of a bachelor�s or post-graduate degree, with experience in agile methodologies.
Collaborative and comfortable working across various teams, serving as a liaison when needed, and able to communicate effectively.
A problem solver with a 'make it happen' mentality, eager to learn, coach others, and ask questions to develop holistic solutions."
?? Analisti;"
Minimum 3 y?ll?k deneyimli, tercihen yurtd??? bankac?l?k projelerinde ya da global projelerde �al??m??. ?ngilizce ileti?im kurabilen (konu?ma, yazma)
?? Analisti veya Dan??man olarak Bankac?l?k sekt�r�nde deneyimli, kartl? sistemler ve alternatif da??t?m kanallar? s�re�leri hakk?nda bilgi sahibi.
Bankac?l?k alan?nda dijital kanallar, ATM ve/veya kartl? sistemlerle ile ilgili herhangi bir konuda daha �nce �al??m??,
�niversitelerin End�stri M�hendisli?i, ??letme M�hendisli?i, Matematik M�hendisli?i, Bilgisayar M�hendisli?i, ??letme, ?ktisat, ?statistik veya ilgili alanlar?ndan mezun,
Analitik d�?�nme ve problem ��zme becerilerine sahip,
Detay odakl?, s�zl� ve yaz?l? ileti?im becerileri kuvvetli,
Payda? analizi yapabilen, organizasyon becerileri geli?mi?,
Gereksinim analizi ve s�re� modelleme konular?nda bilgi sahibi,
Agile / Scrum geli?tirme s�recinde �al??ma deneyimi bulunan,
A?lar, veritabanlar?, server/web uygulamalar?, g�venlik ve ili?kili di?er teknolojileri bilen,
TEKN?K YETK?NL?KLER

Kartl? �deme Sistemleri i? ak?? ve i?leyi?lerine hakim,
ATM, Switch, Provizyon, Takas, Chargeback, EMV, Sertifikasyon (Visa-MasterCard-BKM vs), Kart Ekstre-Finans gibi konulardan en az birinde tec�besi bulunan,
Organizasyon ve i? gereksinimlerinin analiz edilerek m�?teri ihtiya�lar?n?n ortaya �?kar?lmas?,
Mevcut ve potansiyel i? modellerinin teknolojiyle olan ili?kilerinin analiz edilmesi,
M�hendislik ekiplerine i? gereksinimleri spesifikasyonu i�in bilgilendirici, tutarl? ve kullan?labilir belgelerin haz?rlanmas?,
Analiz s�re�lerinin t�m payda?larla birlikte koordine edilmesi (teknik payda?lar, i? payda?lar?, vb.),
Ayr?nt?l? i? analizleri olu?turularak sorunlar?n, f?rsatlar?n ve ��z�mlerin �zetlenmesi,
Mevcut sistemlerin teknik y�nden analiz edilmesi ve geli?tirici ekiplere aktar?lmas? a?amalar?nda g�rev al?nmas?.
Oracle - PL/SQL veritabanlar?nda temel script bilgisine sahip,
Kredi s�re�lerinde tecr�beli olmas? (tercihen teklif tahsis s�reci ve teminat mektuplar? �zerinde)
Yaz?l?m d�ng�s� tamamland?ktan sonra aktif olarak test yaparak, ger�ek ortama al?nmas?na kadar ki t�m s�re�lere h�kim olabilmesi.
MS Office programlar?n? (Visio, Excel, Word) etkin kullanabilen"
Software Developer;"The role entails

Collaborate proactively with a globally distributed team
Write, test and document high quality code to create new features
Debug issues and interact with a vibrant community
Review code produced by other engineers
Attend conferences to represent Canonical and the Charmed Observability Stack
Work from home with global travel 2 to 4 weeks for internal and external events


What we are looking for in you

You love technology and working with brilliant people
You value soft skills and are passionate, enterprising, thoughtful, and self-motivated
You have a Bachelor�s or equivalent in Computer Science, STEM or similar degree
You are a skilled Python developer, preferably with a track record in open source
You have a working knowledge of Go
You have interest and experience with two or more of the following: Ubuntu Linux, container images, Debian packaging, snap, distributed systems."
Data Analyst;"What do we expect from a 'Data Analyst' ?


Collect, clean, and integrate data from multiple sources (IQC, IPQC, FQC/OQC, customer returns, supplier performance).
Maintain and optimize the quality database to ensure accuracy and timely updates.
Perform data analysis (Pareto, trend, root cause) using Excel and other tools.
Monitor key quality KPIs (product pass rate, rework rate, complaint rate, supplier first-pass rate) and generate reports.
Identify patterns and root causes of quality issues to support continuous improvement.
Design dashboards and reports (daily/weekly/monthly) for management.
Present analytical results via charts and visualizations.
Collaborate cross-functionally with production, procurement, R&D, and suppliers.
Assist in developing supplier quality rating systems.


What does a 'Data Analyst' have?


Relevant experience or educational background in data analysis, quality management, manufacturing, or apparel.
Proficient in Microsoft Excel (PivotTables, VLOOKUP/XLOOKUP, charts, formulas) and other Office tools.
Strong analytical and logical thinking skills; able to extract insights from complex data.
Detail-oriented with high data accuracy standards.
Quick learner with business acumen, especially in manufacturing/apparel quality.
Excellent English communication skills.
Familiarity with basic statistics (hypothesis testing, regression).
Experience with SQL, Python, Power BI, or Tableau is a plus."
Business Analyst;"Working in harmony with business units and project teams,
Working in a cross-functional team in an agile (scrum) environment to define, design and ship new features in coordination with the development and business teams,
Create simple wireframes and flows to explain features to stakeholders (technical team and operations),
Verify required functionality has developed and implemented as per business requirements,
Creating a detailed business analysis, outlining problems, opportunities and solutions for a business.Bachelor's degree on Maths, Computer Engineering, Industrial Engineering, MIS or other related fields,
Minimum 3 years experience,
Experience working directly with software teams, software vendors and stakeholders to clarify business needs and create user stories in agile approach,
Writing basic TSQL queries,
Experience in Agile (Scrum) software development methodologies,
Experienced in Atlassian Stack (Jira, Confluence),
Ability to prepare UML diagrams such as use case or business flow diagrams,
Experience with Microsoft Office,
Excellent communication skills,
Ability to take the initiative to complete projects and solve business issues."
Software Business Analyst;"Job Description



Analysis, development and implementation of concepts for the realignment and optimization of companies or business areas in the IT environment (strategy, organizational structure, business processes, systems),
Data analysis of various data sources and automation of analysis steps,
Testing of software compliance systems with regard to data quality and completeness,
Development of purchasing and contract strategies for software, typically in the area of the manufacturers IBM, SAP, Microsoft or Oracle,
Development of strategies and instruments for the management of IT organizations and technical business areas (supply chain, purchasing, IT architecture or IT service management),
Participation in the preparation of project and offer documents,
Assisting in project management and communicating results to customers.


That's where you're strong



Advanced studies in the field of economics, engineering, computer science, mathematics or a comparable course with good results,
Good MS Office skills, especially PowerPoint and Excel,
Good knowledge of English,
Previous experience in the IT environment would be an advantage,
Confident demeanor and high communication, presentation and team skills,
Business management expertise and interest in information technology,
Ability to think analytically and develop solution concepts, you have an independent and structured way of working,
Strong team orientation and enjoy working on national and international consulting projects in flexible environments."
?? Zekas? ve Analitik Uzman?;"Genel Nitelikler



�niversitelerin 4 y?ll?k b�l�mlerinden mezun (tercihen End�stri M�hendisli?i, Matematik M�hendisli?i, ??letme M�hendisli?i, Matematik, ?ktisat, ?statistik)
Banka Sigortac?l??? veya sigorta sekt�r�nde en az 3-5 y?l deneyimli
?yi seviyede s�zl� ve yaz?l? ?ngilizce bilgisine sahip
MS Office uygulamalar?na h�kim (�zellikle Excel ve PowerPoint)
Power BI, Python, R, SQL, PowerAutomate gibi ara�larla �al??maya yatk?n
Say?sal analiz yetene?i g��l�, problem ��zme becerisi y�ksek
Detaylara �nem veren, sonu� odakl? ve zaman y�netimi konusunda ba?ar?l?
Ekip �al??mas?na yatk?n, ileti?im ve ikna becerileri geli?mi?
Teknolojiyi yak?ndan takip eden, ara?t?rmac? ve �?renmeye a�?k
Erkek adaylar i�in askerlik g�revini tamamlam??




?? Tan?m?



Aksigorta & Agesa Banka Sigortac?l??? stratejisinin y�netimine katk? sa?lamak
Bankas�rans kanal?na y�nelik sat??, kampanya ve m�?teri davran?? analizlerini ger�ekle?tirmek
Tahminleme, segmentasyon ve skorlama modelleri geli?tirmek
Analitik �?kt?lar? stratejik kararlara d�n�?t�rmek �zere i? birimleriyle yak?n �al??mak
Veri g�rselle?tirme ara�lar?yla rapor ve dashboard'lar haz?rlamak
Derinlemesine analiz ve ara?t?rmalar ger�ekle?tirmek
Analitik �?kt?lardan yola �?karak kullan?labilir, somut use case�ler olu?turmak ve bu senaryolar?n uygulanabilirli?ini i? birimleriyle birlikte de?erlendirmek
Sat?? f?rsatlar?n? tespit etmek ve bu f?rsatlar? �st y�netime raporlamak"
Frontend Software Developer;"Required education & experience:

� Bachelor Degree (preferably in engineering or in related fields)
� Experience in frontend web application development, min 3 years
� Good understanding of SDLC processes, in particular Agile
� An expert command of web technologies, including JavaScript(ES/TS), HTML5, CSS3
� Experience in React
� Good understanding of server-side CSS pre-processing platforms, such as LESS and SASS,
� Experience in version control systems
� Experience in responsive design, cross browser and mobile compatibility
� Experience in architecting component libraries, building reusable UI components


Candidates with the below credentials will have preference:

� Experience in server side rendering, preferably NextJS
� Experience in in-depth SEO optimization (Core Web Vitals etc)
� Experience in task runners


Personal Attributes:

� Hard worker with high commitment on deliverable deadlines and quality,
� Dedication to self-improvement and continuous learning
� Excellent analytical and problem-solving abilities,
� Good written and verbal communication skills.
� Volunteers to assist and guide subordinate roles"
Data Analyst;"Responsibilities



Developing and implementing marketing analytics frameworks to measure campaign effectiveness
Working closely with the Performance and Brand Marketing teams and providing strategic insights based on data analysis
Performing ad-hoc analyses to guide marketing decisions
Examining marketing performance and user conversion data funnel to identify opportunities to improve ROI
Working with external and internal data teams to enhance the attribution framework
Analyzing TV advertising campaigns' effectiveness, assessing differences in performance across markets


Requirements



Experience using other data analysis and visualization tools, such as SQL, Python, R, Looker, or similar software, is a plus
Excel expertise is required
Strong analytical skills to make data-driven decisions
Excellent communication skills
Passion and interest in games
Understanding and appreciation of teamwork"
Business Analyst;"Qualifications:

Graduated from STEM departments (Computer / Industrial Engineering is preferred) of reputable universities,
Preferrably having knowledge of Core Banking (2+ years of experience),
Open to change, willing to learn and eager to follow new trends,
Wanting to be a member of an agile team,
Want to experience devops processes as an analyst,
Ability of analytic thinking and problem solving,
High proficiency with SQL,
Solution-focused and skilled in teamwork,
Strong communication, negotiation and mediation skills,
Good presentation skills,
Ability to detect problems and develop solutions,
Ability to turn abstract ideas into concrete outcomes.


Job Description

Taking the responsibility in software development processes as a Business Analyst by adapting the software development methods and processes of Yap? Kredi Technology,
In Banking Information Technology projects, working with business units in line with business demands, designing business processes, performing functional and technical analyses,
Performing the tool based or manual functional tests of applications and coordinating the user acceptance tests,
Coordinating business demands and functional needs by working in coordination with software development teams throughout the software development process."
